ROUTEID,ROUTENAME,ROADTYPE,BLOCKKEY,TOTALTRAVELLANES,TOTALTRAVELLANEWIDTH,TOTALTRAVELLANESINBOUND,TOTALTRAVELLANESOUTBOUND,SUMMARYDIRECTION,FHWAFUNCTIONALCLASS,NHSCODE,OWNERSHIP,SPEEDLIMITS_IB,SPEEDLIMITS_OB,STREETNAME,STREETTYPE,BLOCKID,DCFUNCTIONALCLASS,NHSTYPE,WARD_ID,ANC_ID,SMD_ID,BLOCK_NAME,ROAD,START,END,MIDPOINT,ADDRESS,MAR_ID,SURFACE_TYPE,OBJECTID,SHAPE,DC_MAINTENANCE_OPERATIONS,MAINTENANCE_OPERATIONS,SHAPELEN
12089762,VICTOR ST NE,1,deed7b87f798f2e37958a0a2fd976d44,2,16,1,1,BD,7,,1,,20,VICTOR,ST,12089762-12000082_12089762-12000132_12089762,19,,5,5A,5A06,1 - 59 BLOCK OF VICTOR STREET NE,VICTOR STREET NE,1,59,30,"30 VICTOR STREET NE WASHINGTON, DC",800789,0,2793836,,1,1,0
13001702,17TH ST SE,1,d1160e65c1622143e51bda8e327adf45,1,12,0,1,OB,4,,1,,20,17TH,ST,13001702-12001702_13001702_15031912-13001702_13008582,16,,7,7D,7D08,1 - 99 BLOCK OF 17TH STREET SE,17TH STREET SE,1,99,50,"50 17TH STREET SE WASHINGTON, DC",806319,6,2793837,,1,1,0
14092802,WESTOVER AVE SW,1,7a1a5c5fe976ff939b3f973c64e4ae5f,2,18,1,1,BD,7,,9,,,WESTOVER,AVE,14092802-14087142_14092802-14092802_14092802A,19,,8,8D,8D02,83 - 84 BLOCK OF WESTOVER AVENUE SW,WESTOVER AVENUE SW,83,84,84,"84 WESTOVER AVENUE SW WASHINGTON, DC",815707,0,2793838,,9,72,0
13090152,W ST SE,1,aa3eac26f23df12e72ed048025c6b884,2,16,1,1,BD,7,,1,,20,W,ST,13090152-13001502_13090152_58015882-13001602_13090152,19,,8,8A,8A05,1500 - 1599 BLOCK OF W STREET SE,W STREET SE,1500,1599,1550,"1550 W STREET SE WASHINGTON, DC",812536,0,2793839,,1,1,0
14057852,M ST SW,1,348e2a299b3067117c836c6d96a07032,7,70,3,4,BD,4,,1,,20,M,ST,14057852-14020932_14057852-14000052_14057852,16,,6,6D,6D05,5- 39 BLOCK OF M STREET SW,M STREET SW,5,39,22,"22 M STREET SW WASHINGTON, DC",810325,7,2793840,,1,1,0
13048842,ISAAC HULL AVE SE,1,789894c464c6e497a2dbf447ece6c098,4,40,2,2,BD,7,,10,,20,ISAAC HULL,AVE,13048842-13048842_13057852-13048842_13091212,19,,8,8F,8F01,1200 - 1229 BLOCK OF ISAAC HULL AVENUE SE,ISAAC HULL AVENUE SE,1200,1229,1215,"1215 ISAAC HULL AVENUE SE WASHINGTON, DC",800934,0,2793841,,10,73,0
13005202,52ND ST SE,1,8b56a167d06ef6361df212462bb2c53f,1,14,0,1,OB,7,,1,,20,52ND,ST,13005202-13005202_15031912-13005202_13011962_13021582,19,,7,7C,7C08,1 - 99 BLOCK OF 52ND STREET SE,52ND STREET SE,1,99,50,"50 52ND STREET SE WASHINGTON, DC",803223,0,2793842,,1,1,0
14076422,ROBBINS RD SW,1,e954e8e36e1a1edc62c7e16e467d7527,2,20,1,1,BD,7,,10,,,ROBBINS,RD,14076422-14061412_14076422-14076422_14091702,19,,8,8C,8C01,2600 - 2699 BLOCK OF ROBBINS ROAD SW,ROBBINS ROAD SW,2600,2699,2650,"2650 ROBBINS ROAD SW WASHINGTON, DC",816496,0,2793843,,10,73,0
13040752,MARION BARRY AVE SE,1,caf052df16a4e50358ea9236329c0812,2,22,1,1,BD,4,,1,,20,MARION BARRY,AVE,13040752-13001402_13040752-13040752_13061162,16,,8,8A,8A02,1400 - 1498 BLOCK OF MARION BARRY AVENUE SE,MARION BARRY AVENUE SE,1400,1498,1449,"1449 MARION BARRY AVENUE SE WASHINGTON, DC",817008,7,2793844,,1,1,0
13000402,4TH ST SE,1,f8ecbd4882f6e57f6db98b9735de7216,1,10,0,1,OB,5,,1,,20,4TH,ST,13000402-13000402_13053492-13000402_13057852,17,,8,8F,8F01,1100 - 1199 BLOCK OF 4TH STREET SE,4TH STREET SE,1100,1199,1150,"1150 4TH STREET SE WASHINGTON, DC",814306,4,2793845,,1,1,0
